epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,22564.4,1.31364,1.14804,1.41886,0.71009,0.62621,0.68102,0.37203,1.5971,1.19336,1.62701,0.004357,0.004357,0.004357
59,22899.4,1.31291,1.14583,1.41468,0.70968,0.62685,0.68138,0.37253,1.59605,1.19152,1.62591,0.004258,0.004258,0.004258
60,23233.8,1.30691,1.14216,1.41006,0.71042,0.62685,0.68196,0.37295,1.59533,1.18946,1.62485,0.004159,0.004159,0.004159
61,23569.5,1.30326,1.13456,1.40979,0.70596,0.63005,0.68217,0.37357,1.59492,1.18739,1.62439,0.00406,0.00406,0.00406
62,23903.7,1.30608,1.13145,1.40932,0.70793,0.62782,0.68227,0.37436,1.59386,1.1857,1.62307,0.003961,0.003961,0.003961
63,24238,1.30033,1.12514,1.40119,0.7089,0.62607,0.68239,0.37488,1.59321,1.18369,1.62196,0.003862,0.003862,0.003862
64,24573.9,1.2886,1.10996,1.39362,0.70963,0.62694,0.68247,0.37588,1.59237,1.18159,1.62063,0.003763,0.003763,0.003763
65,24910,1.29189,1.10808,1.39762,0.70984,0.62707,0.68302,0.37579,1.59216,1.17989,1.62002,0.003664,0.003664,0.003664
66,25244.2,1.28733,1.10085,1.39219,0.70402,0.63327,0.68289,0.3759,1.59165,1.17828,1.61928,0.003565,0.003565,0.003565
67,25578.1,1.28808,1.09357,1.38944,0.71003,0.62912,0.68306,0.37586,1.59119,1.17618,1.61817,0.003466,0.003466,0.003466
68,25912.6,1.2771,1.08971,1.38427,0.70925,0.63013,0.68326,0.37586,1.59057,1.1744,1.61728,0.003367,0.003367,0.003367
69,26247,1.27645,1.08369,1.38249,0.71109,0.62983,0.68371,0.37612,1.59017,1.17248,1.61633,0.003268,0.003268,0.003268
70,26583,1.27205,1.07538,1.37918,0.71218,0.6305,0.68454,0.37663,1.58979,1.17061,1.61562,0.003169,0.003169,0.003169
71,26919.8,1.26701,1.07081,1.37482,0.71072,0.63217,0.68474,0.37721,1.58901,1.16922,1.61455,0.00307,0.00307,0.00307
72,27254.5,1.26187,1.06502,1.37355,0.71202,0.63177,0.68501,0.37766,1.58849,1.16798,1.61363,0.002971,0.002971,0.002971
73,27590.5,1.2602,1.05658,1.36719,0.71103,0.63217,0.68488,0.37771,1.58802,1.1664,1.61298,0.002872,0.002872,0.002872
74,27924.6,1.26305,1.05603,1.36939,0.71011,0.63394,0.68371,0.37815,1.58709,1.16452,1.61193,0.002773,0.002773,0.002773
75,28258.1,1.25722,1.04921,1.363,0.71119,0.63607,0.68517,0.3784,1.5862,1.16297,1.61057,0.002674,0.002674,0.002674
76,28591.4,1.24645,1.03403,1.35995,0.71483,0.63735,0.68617,0.37912,1.58558,1.16111,1.60962,0.002575,0.002575,0.002575
77,28925.6,1.24052,1.03329,1.35453,0.71371,0.63937,0.68692,0.37968,1.58445,1.15899,1.60833,0.002476,0.002476,0.002476
78,29259.8,1.23941,1.02923,1.35267,0.71241,0.64054,0.68647,0.37967,1.58381,1.15721,1.60744,0.002377,0.002377,0.002377
79,29594,1.23655,1.02259,1.35028,0.70915,0.64244,0.68634,0.37971,1.58299,1.15572,1.60616,0.002278,0.002278,0.002278
80,29928.5,1.23517,1.01918,1.34681,0.70948,0.64198,0.68623,0.38012,1.58239,1.15435,1.60492,0.002179,0.002179,0.002179
81,30262.7,1.22528,1.00867,1.34149,0.71257,0.64308,0.68761,0.38077,1.58237,1.15262,1.60437,0.00208,0.00208,0.00208
82,30597.1,1.22786,1.00415,1.34294,0.71253,0.64281,0.68719,0.38087,1.58179,1.15069,1.60381,0.001981,0.001981,0.001981
83,30930.9,1.2206,0.99379,1.33467,0.71016,0.6459,0.68737,0.38115,1.58104,1.14894,1.60257,0.001882,0.001882,0.001882
84,31264.1,1.21506,0.99055,1.33336,0.71326,0.64481,0.68791,0.38169,1.57996,1.14718,1.60147,0.001783,0.001783,0.001783
85,31599.6,1.21315,0.98206,1.32894,0.7126,0.64431,0.68817,0.38184,1.57926,1.14497,1.60074,0.001684,0.001684,0.001684
86,31934.4,1.20687,0.97524,1.32504,0.71218,0.64463,0.68837,0.38213,1.57864,1.14371,1.59988,0.001585,0.001585,0.001585
87,32268.8,1.19725,0.96809,1.32085,0.71006,0.64859,0.68956,0.3824,1.57831,1.14204,1.59908,0.001486,0.001486,0.001486
88,32602.8,1.20198,0.97077,1.32108,0.70582,0.65022,0.68942,0.3826,1.57816,1.14068,1.59805,0.001387,0.001387,0.001387
89,32938.1,1.19393,0.95952,1.31741,0.70555,0.65091,0.68904,0.38295,1.57753,1.13913,1.59701,0.001288,0.001288,0.001288
90,33271.9,1.18881,0.94944,1.31106,0.70429,0.64988,0.68832,0.38273,1.57746,1.13763,1.59667,0.001189,0.001189,0.001189
91,33633.3,1.19897,0.84751,1.33319,0.7061,0.64904,0.68813,0.38287,1.57695,1.13568,1.59552,0.00109,0.00109,0.00109
92,33962.6,1.18308,0.82635,1.31955,0.70679,0.65074,0.68833,0.38318,1.5765,1.13401,1.59492,0.000991,0.000991,0.000991
93,34292.7,1.16883,0.81373,1.31145,0.70649,0.65268,0.689,0.38369,1.57501,1.13332,1.59393,0.000892,0.000892,0.000892
94,34623.9,1.16015,0.80315,1.30392,0.70676,0.65368,0.68894,0.3841,1.57393,1.13191,1.59314,0.000793,0.000793,0.000793
95,34954.2,1.14981,0.79251,1.29734,0.70725,0.65461,0.6902,0.38499,1.5733,1.12992,1.59257,0.000694,0.000694,0.000694
96,35285.9,1.14388,0.7857,1.29241,0.70483,0.65716,0.69077,0.38541,1.57297,1.12844,1.59201,0.000595,0.000595,0.000595
97,35616.4,1.13529,0.77754,1.2877,0.70579,0.65602,0.69062,0.38543,1.57262,1.12704,1.59151,0.000496,0.000496,0.000496
98,35947.5,1.12672,0.76725,1.28118,0.70785,0.65526,0.69102,0.3863,1.57204,1.1252,1.5906,0.000397,0.000397,0.000397
99,36277.9,1.12024,0.76208,1.27874,0.70661,0.65637,0.69129,0.38655,1.5713,1.12373,1.59005,0.000298,0.000298,0.000298
100,36609.3,1.11315,0.7537,1.27096,0.70601,0.65808,0.6913,0.38672,1.57096,1.12122,1.58973,0.000199,0.000199,0.000199
